dest_ip,dest_port,highest_layer,length,timestamp
10.0.2.15,22,SSH,90,1521397346.987198
10.0.2.2,55595,SSH,98,1521397346.987439
10.0.2.15,22,SSH,90,1521397347.336959
10.0.2.2,55595,SSH,98,1521397347.33719
10.0.2.15,22,SSH,90,1521397348.072834
10.0.2.2,55595,SSH,90,1521397348.074414
10.0.2.2,55595,SSH,114,1521397348.278683
10.0.2.15,22,SSH,90,1521397348.279002
10.0.2.2,55595,SSH,90,1521397348.282312
10.0.2.15,22,SSH,98,1521397348.282703
10.0.2.2,55595,SSH,90,1521397348.424677
10.0.2.2,55595,SSH,738,1521397348.42502
10.0.2.15,22,SSH,634,1521397348.437199
10.0.2.2,55595,SSH,162,1521397348.93628
10.0.2.2,55595,SSH,98,1521397349.278069
10.0.2.2,55595,SSH,106,1521397349.28004
10.0.2.2,55595,SSH,98,1521397349.421969
10.0.2.2,55595,SSH,98,1521397349.422855
10.0.2.2,55595,SSH,98,1521397349.522088
10.0.2.2,55595,SSH,98,1521397349.522935
10.0.2.2,55595,SSH,90,1521397349.690537
10.0.2.2,55595,SSH,98,1521397349.692041
10.0.2.2,55595,SSH,90,1521397349.781404
10.0.2.2,55595,SSH,90,1521397349.783244
10.0.2.2,55595,SSH,90,1521397349.858293
10.0.2.2,55595,SSH,90,1521397349.860252
10.0.2.2,55595,SSH,98,1521397349.93522
10.0.2.2,55595,SSH,98,1521397349.937071
10.0.2.2,55595,SSH,114,1521397350.051037
10.0.2.2,55595,SSH,98,1521397350.052949
10.0.2.2,55595,SSH,114,1521397350.182508
10.0.2.2,55595,SSH,106,1521397351.182689
10.0.2.2,55595,SSH,98,1521397352.189278
10.0.2.2,55595,SSH,90,1521397353.189897
10.0.2.2,55595,SSH,90,1521397354.19045
10.0.2.2,55595,SSH,98,1521397355.192304
10.0.2.2,55595,SSH,98,1521397356.19501
10.0.2.15,22,SSH,90,1521397357.1826
10.0.2.2,55595,SSH,126,1521397357.183911
10.0.2.2,55595,SSH,90,1521397357.184118
10.0.2.2,55595,SSH,90,1521397357.184436
10.0.2.15,22,SSH,126,1521397357.184863
10.0.2.2,55595,SSH,126,1521397357.185003
10.0.2.15,22,SSH,90,1521397357.801374
10.0.2.2,55595,SSH,90,1521397357.801576
10.0.2.15,22,SSH,90,1521397358.009276
10.0.2.2,55595,SSH,90,1521397358.009534
10.0.2.15,22,SSH,90,1521397358.04124
10.0.2.2,55595,SSH,90,1521397358.041399
10.0.2.15,22,SSH,90,1521397358.201252
10.0.2.2,55595,SSH,90,1521397358.201418
10.0.2.15,22,SSH,90,1521397358.384001
10.0.2.2,55595,SSH,90,1521397358.384212
10.0.2.15,22,SSH,90,1521397358.457319
10.0.2.2,55595,SSH,90,1521397358.45748
10.0.2.15,22,SSH,90,1521397358.633407
